Año,Entidad,PM10,PM2.5,SO2,CO,Nox,COV,NH3
2011,Aguascalientes," 3,336.3 "," 1,992.7 "," 11,106.9 "," 860,620.3 "," 37,110.6 "," 96,490.8 "," 11,880.7 "
2011,Baja California," 10,316.7 "," 6,883.8 "," 11,890.8 "," 4,649,601.5 "," 189,653.0 "," 482,598.5 "," 13,397.4 "
2011,Baja California Sur," 5,751.1 "," 2,424.3 "," 35,963.7 "," 604,767.8 "," 34,380.2 "," 63,379.1 "," 4,480.1 "
2011,Campeche," 12,023.8 "," 9,954.2 "," 620,724.6 "," 357,924.4 "," 62,280.8 "," 63,948.8 "," 10,891.8 "
2011,Coahuila," 81,989.1 "," 57,474.6 "," 330,010.3 "," 2,100,374.4 "," 151,942.5 "," 190,156.9 "," 29,006.0 "
2011,Colima," 12,242.3 "," 8,407.7 "," 144,035.7 "," 461,772.3 "," 33,082.4 "," 55,014.6 "," 7,317.0 "
2011,Chiapas," 52,043.4 "," 45,060.6 "," 61,459.3 "," 803,223.5 "," 42,362.1 "," 336,711.9 "," 40,291.4 "
2011,Chihuahua," 39,895.4 "," 24,420.3 "," 34,441.6 "," 2,915,051.9 "," 166,199.4 "," 343,203.9 "," 46,705.9 "
2011,Distrito Federal," 12,808.7 "," 5,740.1 "," 5,906.2 "," 3,016,570.7 "," 294,605.7 "," 432,187.3 "," 12,831.4 "
2011,Durango," 16,902.1 "," 12,516.5 "," 25,131.4 "," 861,348.9 "," 50,310.9 "," 117,374.8 "," 34,005.9 "
2011,Guanajuato," 26,774.4 "," 15,235.3 "," 36,905.3 "," 1,567,224.3 "," 134,046.1 "," 239,703.3 "," 56,107.7 "
2011,Guerrero," 54,298.7 "," 27,906.9 "," 202,642.6 "," 1,098,930.2 "," 74,385.4 "," 256,444.5 "," 42,797.4 "
2011,Hidalgo," 33,111.4 "," 24,790.2 "," 238,215.0 "," 1,042,075.4 "," 89,779.0 "," 192,083.7 "," 25,324.9 "
2011,Jalisco," 49,106.8 "," 28,010.9 "," 31,456.3 "," 6,265,429.5 "," 262,358.9 "," 703,518.1 "," 102,149.4 "
2011,México," 40,116.7 "," 30,692.6 "," 15,848.5 "," 5,380,735.2 "," 366,906.7 "," 867,975.9 "," 62,102.9 "
2011,Michoacán," 32,306.0 "," 23,017.6 "," 18,120.6 "," 4,160,398.9 "," 154,768.0 "," 504,665.1 "," 57,670.4 "
2011,Morelos," 10,492.1 "," 7,439.0 "," 11,988.7 "," 727,652.4 "," 43,933.6 "," 103,291.5 "," 8,797.7 "
2011,Nayarit," 12,249.7 "," 8,540.4 "," 1,286.0 "," 520,470.0 "," 32,548.3 "," 73,250.4 "," 15,047.6 "
2011,Nuevo León," 22,106.5 "," 13,233.0 "," 44,741.9 "," 3,850,871.9 "," 310,255.1 "," 427,338.6 "," 22,510.4 "
2011,Oaxaca," 51,147.6 "," 41,749.4 "," 123,711.6 "," 739,473.0 "," 51,077.6 "," 269,527.4 "," 54,040.6 "
