No.,Empresa,Dirección,Municipio,Clave Municipio,Estado,Clave Estado,Teléfono,Tipo de Residuo,No. de Autorización,Vigencia Inicio,Vigencia Término,Capacidad (ton/año)
36,"Productos Lubriform, S.A.","Rumanía No. 923, Col. Portales",Benito Juárez,14,Ciudad de México,9,56 04 63 94                                                                                             56 04 66 88,Reciclaje de aceites lubricantes industriales usados,9-3-PS-V-02-93,03/05/1994,Indefinida,540
37,"Química Sarc, S.A. de C.V.","Orinoco No. 78, Col. Zacahuitzo.",Benito Juárez,14,Ciudad de México,9,55 39 31 95,Aceite lubricante usado.,09-IV-02-14,22/01/2014,22/01/2024,302
38,Tomás Ibarra del Toro,"Avenida Tlahuac No. 6646, Col. Zapotitlán",Tlahuac,11,Ciudad de México,9,58 41 41 79,"Solventes orgánicos (acetato de butilo; mezclas de thiner, benceno, butano, ciclohexano, dioxano, alcohol etílico, éter monoetilico del etilenglicol, acetato de éter, acetato de etilo; mezcla de etilmetilcetona, heptano, isopropanol, metanol, metilisobutilcetona; destilados del petróleo (hexano, heptano, tolueno, gas nafta, gasolina, diésel, combustóleo), agua contaminada con disolventes en medio ácido y agua contaminada con disolventes en medio alcalino), cloruro de metileno; tolueno-hexano; acetona-metanol; removedor de pintura y thiner",09-IV-30-17,11/08/2017,11/08/2027,"8,870.40"
39,"Distribuidora de Combustibles Laguna, S.A. de C.V.","Carretera Federal Gómez Palacio a Cd. Juárez km 14, Parque Industrial SIMSA, Ejido Competencia, C.P. 35135",Gómez Palacio,7,Durango,10,(871) 750 23 71,"Negro de humo, mezcla de solventes y aceite usado para la formulación de combustible alterno.",10-IV-35-14,08/05/2014,08/05/2024,"24,000"
40,"Energéticos Industriales de la Laguna, S.A. de C.V.","Calle Canelas No. 409, 2a Etapa Parque Industrial Lagunero",Gómez Palacio,7,Durango,10,87 17 19 01 49,"Aceites lubricantes usados (aceites automotrices usados, aceites usados de  corte y enfriamiento de las operaciones de troquelado, fresado, taladrado y esmerilado) provenientes de la industria metalmecánica y automotriz.",10-IV-08-09,19/02/2009,19/02/2019,"2,200"
41,"Recuperadora Ambiental del Bajío, S.A. de C.V.","Av. Dolores Hidalgo No. 480 Manzana 7 Lote 3, Fracc. Ciudad Industrial",Irapuato ,17,Guanajuato,11,(462) 112 85 99,Filtros automotrices usados,11-IV-09-12,02/03/2012,02/03/2022,"6,000"
42,"Sistemas de Tratamiento Ambiental, S.A. de C.V.","Av. Salamanca Esq. Av. Del Canal s/n Cd. Industrial, 36570",Irapuato ,17,Guanajuato,11,(462) 627 23 32,"Elaboración de combustible alterno a partir de disolventes orgánicos, aceites gastados de corte y enfriamiento en las operaciones de troquelado, fresado, taladrado y esmerilado, residuos de disolventes empleados en el lavado de los equipos de proceso, gasolina, diesel y naftas gastados o sucios provenientes de estaciones de servicio y talleres automotrices, aceites lubricantes, aceites hidráulicos y aceites dieléctricos (libres de PCB) usados, textiles impregnados con residuos peligrosos, envases de plástico impregnados con residuos peligrosos, plásticos impregnados con residuos peligrosos, madera contaminada impregnadas con residuos peligrosos, sólidos impregnados con residuos peligrosos libres de metales y papel y cartón contaminado con residuos peligrosos, solventes gastados y/o mezclas de solventes usados en desengrase, solventes gastados o pasados y/o mezclas de solventes no halogenados, solventes gastados y/o mezclas de solventes halogenados, fondos de columnas de la manufactura o recuperación de solventes halogenados y no halogenados, residuos líquido, lodos o sólidos flamables y/o combustibles, sedimentos o lodos generados de los procesos de tratamiento de aguas, con un poder calorífico mayor a 2,700 kcal/kg.",11-IV-117-10,25/10/2010,25/10/2020,"6,000"
43,"Diator, S.A. de C.V.",Curtidor No. 550 Colonia Industrial Julián de Obregón C.P. 37290 ,León,20,Guanajuato,11,(477) 711 89 89,Elaboración de combustibles alternos a partir de aceite reciclado,11-IV-84-11,16/12/2011,16/12/2021,"5,520"
44,"Pochteca Materias Primas, S.A. de C.V. (Planta León)","Blvd. José María Morelos No. 3751, Colonia Purísima de Jerez, C.P. 37290",León,20,Guanajuato,11,(477) 101 58 00,"Solventes gastados, tales como: acetato de butilo, acetato de etilo, acetona, alcohol butílico, alcohol isopropilico, éter butílico de monoetilenglicol (butil cellosolve), gas nafta, heptano, hexano, metanol, metil etil cetona (mek), thiner, tolueno y xilol.",11-IV-50-14,30/09/2014,30/09/2024,"24,000"
45,Martha Alicia Boites Jiménez,"Boulevard Unión de Curtidores No. 308, Parque Industrial Ecológico de León, Terreno 19 Manzana 3.",León,20,Guanajuato,11,(477) 470 97 61,"Recuperación y reciclaje de plomo metálico, sulfato de magnesio y propileno a partir de acumuladores automotriz e industrial (baterías usadas), residuos de procesos industriales con contenido de plomo, así como tierras y polvos con plomo.",11-IV-93-10,29/07/2010,29/07/2020,"17,100.80"
46,"Aleaciones Metalúrgicas, S.A. de C.V.","Av. Circuito Oleoducto No. 313, Fracc. Ciudad Industrial",León,20,Guanajuato,11,(477) 763 55 24,"Reciclaje de plomo metálico a partir de acumuladores usados automotrices e industriales, así como de polvos, tierras de plomo, dross, rebabas y pedacería de plomo.",11-IV-58-15,19/11/2015,19/11/2025,"7,425"
47,"Carboquimica Block, S.A. de C.V.",Km 85 de la Carretera Panamericana Tramo Celaya-Salamanca  36881,Salamanca,27,Guanajuato,11,(464) 642 0346,"Reciclaje de Solventes Orgánicos tales como: alcoholes, benceno, tolueno, acetona, acetato de etilo, creosota, isopropanol, xileno, etilbenceno, cumarona, indeno, naftaleno y aceite pesado por antraceno.",11-IV-65-12,19/12/2012,19/12/2022,"15,050"
48,"Geocycle México, S.A. de C.V. Planta Acapulco (antes Ecoltec, S.A. de C.V. Planta Acapulco)","Av. Lázaro Cárdenas S/N, Col. La Sabana",Acapulco de Juárez,1,Guerrero,12,57 24 00 00,Elaboración de combustible alterno a partir de residuos peligrosos.,12-IV-68-08 (Prórroga),19/11/2008,19/11/2018,"15,000"
49,"Pro Ambiente, S.A. de C.V. (Planta Huichapan)",Ejido El Maney ,Huichapan,29,Hidalgo,13,83 28 37 12,"Reciclaje de residuos peligrosos en su modalidad elaboración de combustible alterno. Los residuos peligrosos susceptibles de ser manejados para el uso autorizado serán aquellos que se establecen en la Norma Oficial Mexicana NOM-052-SEMARNAT-2005, así como materiales impregnados con los mismos, mezclas de ellos y aquellos que por sus características no puedan ser empleados para el fin que fueron elaborados, o su calidad no permita usarlos en el proceso que los generó, a excepción de los siguientes: Bifenilos policlorados en concentración superior a 50ppm, plaguicidas organoclorados y organofosforados a excepción de los envases vacíos que los contuvieron y que fueron sometidos a triple lavado, dioxinas y dibenzofuranos policlorados, residuos radioactivos, gases comprimidos, residuos biológico infecciosos,hexaclorobenceno, hexaclorobutadieno y hexacloroetano, cianuros en donde éste sea el agente primario, baterías enteras, explosivos, circuitos y componentes electrónicos, y residuos del manejo de la fibra de asbesto.",13-IV-01-08 (Prórroga),11/01/2008,11/01/2018,"79,000"
50,"Sistemas Integrales en el Manejo de Residuos Industriales, S. de R.L.","Av. Central Norte 1, Lt. 5 Mz. 832, Parque Industrial Tepeji del Río",Tepeji del Río de Ocampo,63,Hidalgo,13,56 82 5730,"Lodos de galvanoplastia; lodos con hidrocarburos; lodos con pentaclorofenol; asbesto; lodos con plaguicidas órgano-halogenados; lodos con plaguicidas órgano fosforados; lodos con dicloroetano; lodos con zinc, hierro, aluminio, níquel, cobre, plomo, cadmio y cromo; así como cenizas provenientes de la incineración de residuos peligrosos",13-IV-06-15,25/09/2015,25/09/2025,"6,048"
51,"Recicladora Mexicana de Aceites Lubricantes, S.A. de C.V. (antes Alfa Procesos, S.A. de C.V.)","Calle Norte 2 Lt. 10 Mz. 1, Ciudad Industrial de Tizayuca, C.P. 43800",Tizayuca,69,Hidalgo,13,(779) 796 40 58,Elaboración de combustible alterno a partir de aceite gastado.,13-IV-54-14 (Prórroga),19/09/2014,19/09/2019,"14,000"
52,"BVD Equipos de Vacío, S.A. de C.V.","Camino Huitzila- Tizayuca No. 271, Col. Huitzila",Tizayuca,69,Hidalgo,13,(55) 53 35 34 72,Aceites lubricantes automotrices o industriales usados.,13-IV-18-14,28/02/2014,28/02/2024,"3,700"
53,"Funofec, S.A. de C.V.","Calle Norte 2 Lt. 9, Mz. 1, Col. Zona Industrial, C.P. 43860.",Tizayuca,69,Hidalgo,13,144 37 70 75,Baterías ácido-plomo usadas.,13-IV-19-11,02/03/2011,02/03/2021,"5,100"
54,"Lingotiza, S.A. de C.V.","Oriente 5 Lt. 24, Mz. 7, Fracc. Industrial 43800",Tizayuca,69,Hidalgo,13,(779) 796 27 13,Escorias de cobre para la recuperación de cobre.,13-IV-08-08,30/01/2008,30/01/2018,913
55,"Metalúrgica Delta, S. de R.L. de C.V.","Av. 16 de Enero de 1869 No. 49 Col. Huitzila, C.P. 43820",Tizayuca,69,Hidalgo,13,(779) 100 23 32,"Escorias de cobre, concentrados minerales de cobre, sulfatos de cobre, carbonatos de cobre, óxidos de cobre, lodos de recuperación de electrólisis de cobre y escorias de bronce, estaño y zinc contaminadas con lodos, tierras y escorias de cobre.",13-IV-18-12,25/04/2012,25/04/2022,"12,168"
56,"*Tizaquim, S.A. de C.V.","Lote 5 Subdivisón lote 15 Mza. 8, Ciudad Industrial",Tizayuca,69,Hidalgo,13,(779) 796 35 47,Solventes orgánicos y organoclorádos,13-69-PS-V-01-94,01/12/1994,Indefinida,540
57,"Tizaquim, S.A. de C.V.",Lote 15 Subdivisión Lote 5 Manzana 8. Fracc. Industrial. C.P. 43800.,Tizayuca,69,Hidalgo,13,(779) 796 35 47,"Solventes sucios, colas de destilación, pinturas, aceites y resinas para la formulación de combustible alterno.",13-IV-01-11,10/01/2011,10/01/2021,"18,000"
58,"L'ete, S.A. de C.V.","Calle Sur 2, Mz. 6, Lt 21 Ciudad  Industrial Tizayuca, C.P.  43800",Tizayuca,69,Hidalgo,13,(779) 796 28 66,"Hidrocarduros gastados, mezclas de alcoholes gastados (aguas madres y metanol con agua),acetona gastada (solvente acuoso y solvente orgánico)",13-IV-50-16,02/09/2016,02/09/2026,"18,600"
59,"Interamericana de Aceites y Lubricantes, S.A. de C.V.","Cuauhtémoc s/n Col. Centro 43860 Tolcayuca, Hidalgo. Tel. 01 (743) 741 1000",Tolcayuca,75,Hidalgo,13,(743) 741 10 00,"Aceites lubricantes usados,  solventes gastados y usados, hidrocarburos gastados, combustóleo sucio o gastado, diesel y biodiesel sucio o gastado y gasolina sucia o gastada para la elaboración de combustible alterno.",13-IV-49-16,02/09/2016,02/09/2026,"68,400"
60,"Combustibles Ecológicos de Acatic, S.A. de C.V.","Camino Real al Refugio No. 60, Col. Extramuros, C.P. 45470",Acatic,1,Jalisco,14,(33) 2400 2659,"Aceites lubricantes, industriales, hidráulicos y refrigerantes para elaboración de combusible alterno.",14-IV-32-15,10/09/2015,10/09/2025,"7,000"
61,"Cuprosa, S.A. de C.V.","Calle 4 No. 2734, Zona Industrial, 44940",Guadalajara,39,Jalisco,14,(333) 645 70 05,"Lodos con alto contenido de cobre, níquel, cadmio, plomo y zinc para su extracción y uso en el proceso de producción de sulfatos de cobre, níquel, cadmio, plomo y zinc.",14-IV-50-12,27/11/2012,27/11/2022,"18,000"
62,"Fimex, S.A. de C.V.","Dr. Michel No. 1649, Col. Atlas C.P. 44780",Guadalajara,39,Jalisco,14,(33) 38 37 27 36,Aceite gastado y aceite lubricante usado.,14-IV-34-13,19/12/2013,19/12/2023,204
63,"Galber, S.A. de C.V.","Calle 2 No. 2711, Zona Industrial",Guadalajara,39,Jalisco,14,01 33 30 01 61 30 ,Reciclaje de residuos peligrosos (proceso de reciclaje de lodos con alto contenido de níquel para su extracción y uso en el proceso de producción de sulfato de níquel),14-IV-77-08,15/12/2008,15/12/2018,444
64,"Ecología Integral Empresarial, S.A. de C.V.","Carretera Acueducto-Chapala No. 2000-B, Predio Los Arcos, Ex hacienda de Santa Rosa",Ixtlahuacán de los Membrillos,44,Jalisco,14,(33) 39 44 15 08,Aceite usado contaminado con hidrocarburos y solventes contaminados con hidrocarburos para la obtención de combustible alterno,14-IV-20-14,23/04/2014,23/04/2024,"1,408"
65,"Eco Amere, S.A. de C.V.","Calle  Cuatro No. 10559, Parque Industrial El Salto, C.P. 45680",El Salto,70,Jalisco,14,(33) 38 09 02 67,"Disolventes orgánicos, aceites gastados de corte y enfriamiento en las operaciones de troquelado, fresado, taladrado y esmerilado, residuos de disolventes empleados en el lavado de los equipos de proceso, gasolina, diesel y naftas gastados o sucios provenientes de estaciones de servicio y talleres automotrices, aceites lubricantes e hidráulicos usados, y aceites dieléctricos gastados (libres de BPCs)",14-IV-39-12,23/08/2012,23/08/2022,"21,840"
66,"Sion Acumuladores, S.A. de C.V.","Km. 3 Carretera El Salto a la Capilla, camino al cónico No. 5 en el Castillo.",El Salto,70,Jalisco,14,(333) 632 66 59,"Reciclaje a partir de baterías automotrices e industriales de desecho, así como residuos de procesos industriales con contenido de plomo con el fin de recuperar plomo, plásticos de la caja y tapa del acumulador (polipropileno) y electrolito (ácido sulfúrico)",14-IV-91-09,08/10/2009,08/10/2019,"7,500"
67,Manuel Pérez García,"Lago Janitzio No. 7, Fracc. Playas de Cajititlán, C.P. 45670",Tlajomulco de Zúñiga,97,Jalisco,14,(33) 31 61 86 40                                       31 61 10 98,Escoria provenientes de la fundición de chatarra de aluminio,14-IV-67-12,19/12/2012,19/12/2022,780
68,"Inlubsa, S.A. de C.V.","Calle de la Rosa No. 782, Col. Altagracia, Zona Industrial Norte",Zapopan,120,Jalisco,14,(33) 36 56 12 38,Aceite lubricante gastado.,14-IV-11-14,02/05/2014,02/05/2024,"25,000"
69,"Química Rimsa, S.A. de C.V.","Km. 19 Carretera a Nogales, La Venta del Astillero.",Zapopan,120,Jalisco,14,(01 55) 544 999 00                                                                                                                           (01 33) 315 100 46,Reciclaje de aceite hidráulico y lubricante usado para la formulación de combustible alterno.,14-IV-86-10,12/07/2010,12/07/2020,"15,000"
70,"Comercial Mexicana de Pinturas, S.A. de C.V.","Marcos Achar Lobatón No. 6, Tepexpan.",Acolman,2,Estado de México,15,16 69 14 23,"Disolventes gastados o sucios, derivado de la limpieza de los equipos de envasado de pintura y elaboración de resinas.",15-IV-37-11,31/05/2011,31/05/2021,"1,100"
71,"Derequim, S. de R.L. de C.V. (antes Proveedora y Suministros de Envases La Huasteca, S. de R.L. MI)","2a Cerrada de Jacarandas Mz. 17, Lt. 24, Col. Ampliación Guadalupe",Acolman,2,Estado de México,15,36 12 19 46,"Reciclaje de tambores metálicos y de plástico, contenedores de plástico y porrones de plástico, que contuvieron materiales y/o residuos peligrosos y solventes gastados.",15-IV-09-09,12/03/2009,12/03/2019,"2,416"
72,Lissete Angélica De la Barrera Lugo (antes Angélica Lugo García),"Calle Conquista s/n, Col. Plan de Guadalupe",Acolman,2,Estado de México,15,57 77 38 84,Elaboración de combustible alterno a partir de aceite lubricante automotriz usado,15-IV-17-16 ,07/04/2016,07/04/2026,"120,000"
73,"Geocycle México, S.A. de C.V. Planta Apaxco (antes Ecoltec, S.A. de C.V. Planta Apaxco)","Carretera Estatal Progreso-Apaxco, Km 0.1 s/n, Col. El Salitre, C.P. 55660",Apaxco,10,Estado de México,15,(599) 998 4854 Ext. 352225,"Elaboración de combustible alterno a partir de residuos peligrosos, a excepción de los siguientes residuos: Bifenilos policlorados en concentración superior a 50 ppm, plaguicidas organoclorados y organofosforados a excepción de los envases vacíos que los contuvieron y que fueron sometidos a triple lavado, dioxinas y dibenzofuranos policlorados, residuos radioactivos, gases comprimidos, residuos biológico infecciosos, hexaclorobenceno, hexaclorobutadieno y hexacloroetano, cianuros en donde éste sea el agente primario, baterías enteras, explosivos, circuitos y componentes electrónicos y residuos del manejo de la fibra de asbesto.",15-IV-37-17 (Prórroga),26/09/2017,26/09/2027,"126,000"
74,"Grupo RRJM, S.A. de C.V.","Calle Cerrada Malaquías Huitrón s/n, Mz. 1, Lt. 41 Col. San Lorenzo Tetlixtac. 55714.",Coacalco de Berriozábal,20,Estado de México,15,58 91 64 00,Reciclaje de aceite lubricante usado para su reuso en motores automotrices.,15-IV-122-10,10/12/2010,10/12/2020,"1,944"
75,"Industrias Deutsch, S.A. de C.V.","Antoine Lavoisser No. 51, Col. Parque Industrial Coamatla",Cuautitlán,24,Estado de México,15,58 72 57 47,"Reciclaje de polvillos de plomo antimonial, residuos de plomo antimonial y rejillas de plomo y óxidos de plomo de acumuladores sin caja, para la recuperación de plomo antimonial metálico.",15-IV-29-13 (Prórroga),17/09/2013,17/09/2023,"13,104"
76,Carlos Oswaldo Romero Hernández,Carretera México-Pirámides Km. 34 Col. Tepexpan C.P. 55885 ,Acolman,2,Estado de México,15,(55) 6580 2623,"tambores metálicos y de plástico impregnados con residuos peligrosos tales como lubricantes, grasas y/o aceites minerales y/o vegetales; pinturas y/o los productos para su fabricación; solventes orgánicos e inorgánicos (Thiner, cetona, xileno, hexano, benceno, tolueno, alcohol metílico, alcoholes, esteres); petróleo crudo; derivados del petróleo (gasolina, turbosina, diésel, petróleo diáfano, asfalto, chapopote, gas avión, breas); lacas; tintas; poliol; silicón; ácidos; cloruro de polivinilo; impermeabilizantes y/o los productos para su fabricación; hidrocarburos aromáticos; perfumes y/o los productos para su fabricación; esencias y/o los productos para su fabricación y pegamentos base agua y base solvente y/o los productos para su fabricación.",15-IV-12-17,12/05/2017,15/05/2027,"8,044"
77,"Especialidades Químicas Globales de México, S.A. de C.V.","Fundidores No. 30, Fraccionamiento Industrial Xhala, C.P. 54714",Cuautitlán Izcalli,24,Estado de México,15,5872 4097 EXT. 114,"Mezclas de acetato butilo-butanol-agua, metanol-agua, …isobutil cetona-agua, xilenos, etilen glicol -agua, MIBK-tolueno, solvente-pintura y solventes-agua",15-IV-02-17,13/02/2017,13/02/2027,"9,000"
78,"Reind Química, S. de R.L. de C.V. (Antes Reind Química, S.A. de C.V.)","Antiguo Camino a Chimalhuacán S/N Colonia San José Chicoloapan, C.P. 56370  ",Chicoloapan de Juárez,29,Estado de México,15,59 21 59 21 ,"Residuos peligrosos líquidos y sólidos, tales como aceites gastados, natas o lodos de pintura, pintura caduca, solventes; mezclas de solventes con alto contenido de dicloroetano y tricloroetileno en matrices sólidas, semisólidas y líquidas; combustibles intemperizados tales como fondos de tanques de crudo y combustibles derivados del petróleo para ser incorporados al proceso de formulación de combustible alterno y efluentes provenientes de su planta de tratamiento de aguas residuales, siempre y cuando dichos efluentes sean susceptibles de ser usados como combustible alterno.",15-IV-33-09 (Prórroga),17/04/2009,17/04/2019,"4,320"
79,"*Reind Química, S.A. de C.V.","Camino antiguo a Chimalhuacan S/N, Col. San José Chicoloapan",Chicoloapan de Juárez,29,Estado de México,15,59 21 53 20                                                                                                          59 21 50 19                                                                                      59 21 59 21 ,"Solventes clorados y organoclorados, y tambores sucios.",15-29-PS-V-04-94,06/05/1994,Indefinida,"11,040"
80,Adrián Carrillo Mendoza,Calle Limón No. 20 Col. Potrero del Rey,Ecatepec de Morelos,33,Estado de México,15,55 41 70 13,Residuos de pinturas y esmaltes,15-IV-46-08,14/08/2008,14/08/2018,32.4
83,Rigoberto Esquivel Gómez,"Niños Héroes Mz. 19, Lt. 8, Col. Miguel Hidalgo",Ecatepec de Morelos,33,Estado de México,15,57 88 43 40,Envases usados de metal y plástico,15-IV-10-09,11/03/2009,11/03/2019,"1,673"
84,"Impulsora Mexicana de Productos Químicos, S.A. de C.V.",Vicente Lombardo Toledano No. 89 Col. Miguel Hidalgo. C.P. 55490. ,Ecatepec de Morelos,33,Estado de México,15,55 69 03 71,"Solventes usados tales como acetona, acetato de butilo, acetato de etilo, acetato de isopropilo, acetato de cellosolvente, alcohol butilico, metil etil cetona, metil isobutil cetona, metil cellosolve, butil cellosolve, cellosolve, propanol, hexano, isopropanol, metanol, tolueno, xileno, cloruro de metilo, tricloroetano y percloroetileno, así como para la formulación de combustible alterno a partir de las colas o fondos de destilación de solventes.",15-IV-09-16 (Prórroga),07/04/2016,07/04/2021,"1,094"
85,"Industrial Mondelo, S. de R.L. de C.V.","Calle Industrial Electrónica No. 1, Mza. 2, Lte. 12, Ex Hacienda Doña Rosa, Parque Industrial",Lerma,51,Estado de México,15,53 59 84 11,"Acumuladores de vehículos automotores mismos que contienen plomo, pastas de plomo con óxidos de plomo y sulfatos de plomo, así como el reciclaje de concentrados metálicos.",15-IV-56-11,28/07/2011,28/07/2021,"180,000"
86,"Energéticos Ecológicos Miga, S.A. de C.V.","Carretera Federal México-Puebla Km. 21 + 500, Fraccionamiento Loma Encantada",La Paz,70,Estado de México,15,(55) 58 55 35 10,"Aceites usados, mezclas de aceite/agua y residuales de refinación.",15-IV-40-12,23/08/2012,23/08/2022,"16,200"
