i>>?CLAVE,SITIO,,,,,O_CUENCA,,,ESTADO,,,CUENCA,,,C_AGUA,,,SUBTIPO
DLHID1416,"PLASTICOS PLYMOUTH DE MEXICO, S.A. DE C.V. (AGUAS ARRIBA)",,,,,AGUAS DEL VALLE DE MEXICO,,,HIDALGO,,,RIO DE LAS AVENIDAS DE PACHUCA,,,ARROYO PAPALOTE,,,DESCARGA
DLHID1417,"PLASTICOS PLYMOUTH DE MEXICO, S.A. DE C.V. (AGUAS ABAJO)",,,,,AGUAS DEL VALLE DE MEXICO,,,HIDALGO,,,RIO DE LAS AVENIDAS DE PACHUCA,,,ARROYO PAPALOTE,,,DESCARGA
DLHID1445,"MANUFACTURAS KALTEX, S.A. DE C.V. (AGUAS ABAJO)",,,,,AGUAS DEL VALLE DE MEXICO,,,HIDALGO,,,PRESA REQUENA,,,CANAL CALTENGO,,,DESCARGA
DLHID1448,"MANUFACTURAS KALTEX, S.A. DE C.V. (AGUAS ARRIBA)",,,,,AGUAS DEL VALLE DE MEXICO,,,HIDALGO,,,PRESA REQUENA,,,CANAL CALTENGO,,,DESCARGA
DLHID1499,CANAL DEL CENTRO AA PRESA EL YATHE,,,,,AGUAS DEL VALLE DE MEXICO,,,HIDALGO,,,RIO ALFAJAYUCAN,,,CANAL DEL CENTRO,,,CANAL
DLHID1458,KM 0+00 CANAL ENDHO (SOT),,,,,AGUAS DEL VALLE DE MEXICO,,,HIDALGO,,,RIO TULA,,,CANAL ENDHO,,,CANAL
DLHID1426,CANAL PRINCIPAL ALTO REQUENA,,,,,AGUAS DEL VALLE DE MEXICO,,,HIDALGO,,,RIO ACTOPAN,,,CANAL PRINCIPAL ALTO REQUENA,,,CANAL
DLHID1425,CANAL PRINCIPAL EL TUMBA 3,,,,,AGUAS DEL VALLE DE MEXICO,,,HIDALGO,,,RIO ACTOPAN,,,CANAL PRINCIPAL EL TUMBA,,,CANAL
DLHID1428,CANAL PRINCIPAL EL TUMBA 2,,,,,AGUAS DEL VALLE DE MEXICO,,,HIDALGO,,,RIO ACTOPAN,,,CANAL PRINCIPAL EL TUMBA,,,CANAL
DLHID1429,CANAL PRINCIPAL EL TUMBA 1,,,,,AGUAS DEL VALLE DE MEXICO,,,HIDALGO,,,RIO ACTOPAN,,,CANAL PRINCIPAL EL TUMBA,,,CANAL
DLHID1431,OBRA DE TOMA CANAL PRINCIPAL EL TUMBA,,,,,AGUAS DEL VALLE DE MEXICO,,,HIDALGO,,,RIO TULA,,,CANAL PRINCIPAL EL TUMBA,,,CANAL
DLHID1484,THALIMEDES LAGUNA TECOCOMULCO,,,,,AGUAS DEL VALLE DE MEXICO,,,HIDALGO,,,TOCHAC-TECOCOMULCO,,,LAGO DE TECOCOMULCO,,,LAGO
DLHID1485,TULTENGO LAGUNA DE TECOCOMULCO,,,,,AGUAS DEL VALLE DE MEXICO,,,HIDALGO,,,TOCHAC-TECOCOMULCO,,,LAGO DE TECOCOMULCO,,,LAGO
DLHID1435,PRESA DERIVADORA TLAMACO-JUANDHO (RS1),,,,,AGUAS DEL VALLE DE MEXICO,,,HIDALGO,,,RIO SALADO,,,PRESA DERIVADORA TLAMACO-JUANDO,,,CANAL
DLHID1443,OBRA DE TOMA PRESA REQUENA (OTPR),,,,,AGUAS DEL VALLE DE MEXICO,,,HIDALGO,,,PRESA ENDHO,,,PRESA REQUENA,,,PRESA
DLHID1497,OBRA DE TOMA PRESA VICENTE AGUIRRE (PVA),,,,,AGUAS DEL VALLE DE MEXICO,,,HIDALGO,,,RIO ALFAJAYUCAN,,,RIO ALFAJAYUCAN,,,RIO
DLHID1500,OBRA DE TOMA PRESA ROJO GOMEZ (PRG),,,,,AGUAS DEL VALLE DE MEXICO,,,HIDALGO,,,RIO ALFAJAYUCAN,,,RIO ALFAJAYUCAN,,,CANAL
DLHID1447,"SALMITEX, S.A. DE C.V. (AGUAS ABAJO)",,,,,AGUAS DEL VALLE DE MEXICO,,,HIDALGO,,,PRESA ENDHO,,,RIO JILOTEPEC,,,DESCARGA
DLHID1455,"MANUFACTURAS KALTEX, S.A. DE C.V. TLAUTLA AGUAS ARRIBA D 2 RIO JILOTEPEC",,,,,AGUAS DEL VALLE DE MEXICO,,,HIDALGO,,,PRESA ENDHO,,,RIO JILOTEPEC,,,DESCARGA
DLHID1457,"MANUFACTURAS KALTEX, S.A. DE C.V. TLAUTLA AGUAS ARRIBA D 3 RIO JILOTEPEC",,,,,AGUAS DEL VALLE DE MEXICO,,,HIDALGO,,,PRESA ENDHO,,,RIO JILOTEPEC,,,DESCARGA
DLHID1450,RIO TEPEJI,,,,,AGUAS DEL VALLE DE MEXICO,,,HIDALGO,,,PRESA REQUENA,,,RIO TEPEJI,,,RIO
DLHID1451,"PILGRIMA'S PRIDE, S.A. DE C.V. AGUAS ARRIBA RIO TEPEJI",,,,,AGUAS DEL VALLE DE MEXICO,,,HIDALGO,,,PRESA REQUENA,,,RIO TEPEJI,,,DESCARGA
DLHID1452,"TEJIDOS FLANEL, S.A DE C.V. AGUAS ARRIBA RIO TEPEJI",,,,,AGUAS DEL VALLE DE MEXICO,,,HIDALGO,,,PRESA REQUENA,,,RIO TEPEJI,,,DESCARGA
DLHID1462,PISCICOLA TEZONTEPEC DE ALDAMA (RT-2A),,,,,AGUAS DEL VALLE DE MEXICO,,,HIDALGO,,,RIO TULA,,,RIO TULA,,,RIO
DLHID1494,RH26-7 PANUCO,,,,,AGUAS DEL VALLE DE MEXICO,,,HIDALGO,,,RIO TULA,,,RIO TULA,,,RIO
DLHID1495,RIO TULA (PUENTE DE FIERRO),,,,,AGUAS DEL VALLE DE MEXICO,,,HIDALGO,,,RIO TULA,,,RIO TULA,,,RIO
DLHID1502,PUENTE DE LA CD. DE IXMIQUILPAN (RT-4),,,,,AGUAS DEL VALLE DE MEXICO,,,HIDALGO,,,RIO TULA,,,RIO TULA,,,RIO
OCAVM2703,"KIMEX, S.A. DE C.V. (AGUAS ARRIBA)",,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,CIUDAD DE MEXICO,,,AFLUENTE RIO SAN JAVIER Y CUERPO DE DESC,,,DESCARGA
OCAVM2748,PORTAL DE SALIDA,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO CUAUTITLAN,,,CANAL DEL EMISOR PONIENTE,,,CANAL
OCAVM2755,SANTO TOMAS ESTRUCTURA (OBRA DE TOMA),,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO CUAUTITLAN,,,CANAL SANTO TOMAS,,,CANAL
OCAVM2744,"CHENILLE MEXICANA, S.A. DE C.V. (AGUAS ARRIBA)",,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO CUAUTITLAN,,,EMISOR PONIENTE,,,DESCARGA
OCAVM2701,"CLARIANT PRODUCTOS QUIMICOS, S.A. DE C.V. (AGUAS ARRIBA)",,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,CIUDAD DE MEXICO,,,GRAN CANAL,,,DESCARGA
OCAVM2751,KILOMETRO 27 + 500,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,CIUDAD DE MEXICO,,,GRAN CANAL,,,CANAL
OCAVM2704M1,EE. P. GPE. CORTINA. SUPERFICIAL,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO CUAUTITLAN,,,LAGO DE GUADALUPE,,,PRESA
OCAVM2705M1,EE. P. GPE. CORTINA. PROFUNDA,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO CUAUTITLAN,,,LAGO DE GUADALUPE,,,PRESA
OCAVM2706M1,"EE. P. GPE. UVM, SUPERFICIAL",,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO CUAUTITLAN,,,LAGO DE GUADALUPE,,,PRESA
OCAVM2707M1,"EE. P. GPE. UVM, PROFUNDA",,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO CUAUTITLAN,,,LAGO DE GUADALUPE,,,PRESA
OCAVM2708M1,"EE. P. GPE. EMBARCADERO MPAL., SUPERFICIAL",,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO CUAUTITLAN,,,LAGO DE GUADALUPE,,,PRESA
OCAVM2709M1,"EE. P. GPE. EMBARCADERO MPAL., PROFUNDA",,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO CUAUTITLAN,,,LAGO DE GUADALUPE,,,PRESA
OCAVM2710M1,EE. P. GPE. COLONIA GUADALUPE. SUPERFICIAL,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO CUAUTITLAN,,,LAGO DE GUADALUPE,,,PRESA
OCAVM2711M1,EE. P. GPE. COLONIA GUADALUPE. PROFUNDA,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO CUAUTITLAN,,,LAGO DE GUADALUPE,,,PRESA
OCAVM2712M1,EE. P. GPE. CAMPESTRE DEL LAGO. SUPERFICIAL,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO CUAUTITLAN,,,LAGO DE GUADALUPE,,,LAGO
OCAVM2713M1,EE. P. GPE. CAMPESTRE DEL LAGO. PROFUNDA,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO CUAUTITLAN,,,LAGO DE GUADALUPE,,,LAGO
OCAVM2716M1,"EE. P. GPE. ENTRADA RIO XINTE, SUPERFICIAL",,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO CUAUTITLAN,,,LAGO DE GUADALUPE,,,LAGO
OCAVM2717M1,"EE. P. GPE. ENTRADA RIO XINTE, PROFUNDA",,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO CUAUTITLAN,,,LAGO DE GUADALUPE,,,LAGO
OCAVM2719M1,"EE. P. GPE. ENTRADA RIO SAN PEDRO, SUPERFICIAL",,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO CUAUTITLAN,,,LAGO DE GUADALUPE,,,LAGO
OCAVM2720M1,"EE. P. GPE. ENTRADA RIO SAN PEDRO, PROFUNDA",,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO CUAUTITLAN,,,LAGO DE GUADALUPE,,,LAGO
OCAVM2722M1,"EE. P. GPE. ENTRADA RIO CHIQUITO, SUPERFICIAL",,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO CUAUTITLAN,,,LAGO DE GUADALUPE,,,LAGO
OCAVM2723M1,"EE. P. GPE. ENTRADA RIO CHIQUITO, PROFUNDA",,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO CUAUTITLAN,,,LAGO DE GUADALUPE,,,LAGO
OCAVM2758,LAGO DE ZUMPANGO 1,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO CUAUTITLAN,,,LAGO DE ZUMPANGO,,,LAGO
OCAVM2696,LAGO NABOR CARRILLO 1,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,TEXCOCO,,,LAGO NABOR CARRILLO,,,LAGO
OCAVM2698,LAGO NABOR CARRILLO 2,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,TEXCOCO,,,LAGO NABOR CARRILLO,,,LAGO
OCAVM2714M1,"EE. P. GPE. LAGUNA DE ZUMPANGO, EST. BOMBEO, SUPERFICIAL",,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,CIUDAD DE MEXICO,,,LAGUNA DE ZUMPANGO,,,LAGO
OCAVM2759,LAGO DE  ZUMPANGO 2,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,CIUDAD DE MEXICO,,,LAGUNA ZUMPANGO,,,LAGO
OCAVM2770,PRESA MADIN 3,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,CIUDAD DE MEXICO,,,PREASA MADIN,,,PRESA
DLEST947M1,CORTINA PRESA COFRADIA,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO &ADO,,,PRESA COFRADIA,,,PRESA
OCAVM2718,PRESA GUADALUPE 4,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO CUAUTITLAN,,,PRESA GUADALUPE,,,PRESA
OCAVM2721,PRESA GUADALUPE 2,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO CUAUTITLAN,,,PRESA GUADALUPE,,,LAGO
OCAVM2726,PRESA GUADALUPE 3,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO CUAUTITLAN,,,PRESA GUADALUPE,,,LAGO
OCAVM2732,PRESA GUADALUPE 1,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO CUAUTITLAN,,,PRESA GUADALUPE,,,PRESA
DLEST952,PRESA HUAPANGO 2,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,ARROYO ZARCO,,,PRESA HUAPANGO,,,PRESA
DLEST953,CORTINA PRESA HUAPANGO,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,ARROYO ZARCO,,,PRESA HUAPANGO,,,PRESA
DLEST954,PRESA HUAPANGO 1,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,ARROYO ZARCO,,,PRESA HUAPANGO,,,PRESA
OCAVM2724M1,"EE. P. GPE. PRESA MADIN 1, CORTINA SUPERFICIAL",,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,CIUDAD DE MEXICO,,,PRESA MADIN,,,LAGO
OCAVM2725M1,"EE. P. GPE. PRESA MADIN 2, CORTINA PROFUNDA",,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,CIUDAD DE MEXICO,,,PRESA MADIN,,,LAGO
OCAVM2730M1,"EE. P. GPE. PRESA MADIN 3, OBRA DE TOMA SUPERFICIAL",,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,CIUDAD DE MEXICO,,,PRESA MADIN,,,LAGO
OCAVM2731M1,"EE. P. GPE. PRESA MADIN 4, OBRA DE TOMA PROFUNDA",,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,CIUDAD DE MEXICO,,,PRESA MADIN,,,LAGO
OCAVM2733M1,"EE. P. GPE. PRESA MADIN 5, NUEVO MADIN SUPERFICIAL",,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,CIUDAD DE MEXICO,,,PRESA MADIN,,,LAGO
OCAVM2734M1,"EE. P. GPE. PRESA MADIN 6, NUEVO MADIN PROFUNDA",,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,CIUDAD DE MEXICO,,,PRESA MADIN,,,LAGO
OCAVM2768,PRESA MADIN 1,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,CIUDAD DE MEXICO,,,PRESA MADIN,,,PRESA
OCAVM2769,PRESA MADIN 2,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,CIUDAD DE MEXICO,,,PRESA MADIN,,,PRESA
OCAVM2715M1,"EE. P. GPE. PRESA TAXHIMAY 1, CORTINA SUPERFICIAL",,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,PRESA REQUENA,,,PRESA TAXHIMAY,,,LAGO
OCAVM2738M1,"EE. P. GPE. PRESA TAXHIMAY 2, CORTINA PROFUNDA",,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,PRESA REQUENA,,,PRESA TAXHIMAY,,,PRESA
OCAVM2742M1,"EE. P. GPE. PRESA TAXHIMAY 4, ENTRADA RIO LAS PERAS, SUPERFICIAL",,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,PRESA REQUENA,,,PRESA TAXHIMAY,,,PRESA
OCAVM2746M1,"EE. P. GPE. PRESA TAXHIMAY 3, FRENTE. SAN LUIS TAXHIMAY, SUPERFICIAL",,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,PRESA REQUENA,,,PRESA TAXHIMAY,,,LAGO
DLEST955,PRESA ZARCO,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,ARROYO ZARCO,,,PRESA ZARCO,,,PRESA
DLEST949M1,RM4 AGUAS ARRIBA DE LA PRESA COFRADIA,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO &ADO,,,RIO ACULCO,,,RIO
DLEST951M1,RM2 AGUAS ARRIBA DE LIBERTEX,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO &ADO,,,RIO ACULCO,,,RIO
OCAVM2736M1,EE. P. GPE. RIO CHIQUITO,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO CUAUTITLAN,,,RIO CHIQUITO,,,RIO
OCAVM2745M1,EE. P. GPE. AGUAS ABAJO DE LA CORTINA,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO CUAUTITLAN,,,RIO CHIQUITO,,,RIO
OCAVM2762,ENTRADA AL LAGO DE TEXCOCO,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,CIUDAD DE MEXICO,,,RIO CHURUBUSCO,,,RIO
OCAVM2753,AGUAS ARRIBA DE LA PRESA GUADALUPE,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO CUAUTITLAN,,,RIO CUATITLAN,,,ARROYO
OCAVM2727,A.A. PRESA GUADALUPE,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO CUAUTITLAN,,,RIO CUAUTITLAN,,,CANAL
OCAVM2743,SAN LORENZO (HIDROMETRICA),,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO CUAUTITLAN,,,RIO CUAUTITLAN,,,ARROYO
OCAVM2695,PUENTE XOCHIACA,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,TEXCOCO,,,RIO DE LA COMPA&IA,,,RIO
OCAVM2773,PUENTE DE VIGAS,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,CIUDAD DE MEXICO,,,RIO DE LOS REMEDIOS,,,CANAL
DLEST946,RM6 AGUAS ARRIBA DE LA PRESA SAN ILDEFONSO,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO &ADO,,,RIO SAN JUAN DEL RIO,,,RIO
DLEST948M1,RM5 AGUAS ABAJO DE LA PRESA COFRADIA,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO &ADO,,,RIO SAN JUAN DEL RIO,,,RIO
DLEST950M1,RM3 AGUAS ABAJO DE LIBERTEX,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO &ADO,,,RIO SAN JUAN DEL RIO,,,RIO
OCAVM2700,PUENTE CARR. LOS REYES - LECHERIA,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,TEXCOCO,,,RIO SAN JUAN TEOTIHUACAN,,,RIO
OCAVM2729M1,"EE. P. GPE. PRESA TAXHIMAY 6, a.a. DE LA CORTINA, LAS GOLONDRINAS",,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,PRESA REQUENA,,,RIO SAN LUIS,,,RIO
OCAVM2754M1,"EE. P. GPE. PRESA TAXHIMAY 5, RIO SAN LUIS",,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,PRESA REQUENA,,,RIO SAN LUIS,,,RIO
OCAVM2739M1,EE. P. GPE. RIO SAN PEDRO,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO CUAUTITLAN,,,RIO SAN PEDRO,,,RIO
OCAVM2740,RIO TEPOTZOTLAN AGUAS ARRIBA DE LA PRESA CONCEPCION,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO CUAUTITLAN,,,RIO TEPOTZOTLAN,,,RIO
OCAVM2741,PRESA DE LA CONCEPCION AGUAS ABAJO,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO CUAUTITLAN,,,RIO TEPOTZOTLAN,,,ARROYO
OCAVM2735M1,"EE. P. GPE. PRESA MADIN, RIO TLALNEPANTLA, EN CHILUCA",,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,CIUDAD DE MEXICO,,,RIO TLALNEPANTLA,,,RIO
OCAVM2771,A.A DE LA PRESA MADIN,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,CIUDAD DE MEXICO,,,RIO TLANEPANTLA,,,ARROYO
OCAVM2772,A.A. PRESA MADIN,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,CIUDAD DE MEXICO,,,RIO TLANEPANTLA,,,ARROYO
OCAVM2737M1,EE. P. GPE. RIO XINTE,,,,,AGUAS DEL VALLE DE MEXICO,,,MEXICO,,,RIO CUAUTITLAN,,,RIO XINTE,,,RIO
DLGUE1407,ARROYO ARCELIA,,,,,BALSAS,,,GUERRERO,,,RIO MEDIO BALSAS,,,ARROYO ARCELIA,,,ARROYO
DLGUE1389,ARROYO SALADO (GUERRERO),,,,,BALSAS,,,GUERRERO,,,RIO AMACUZAC,,,ARROYO SALADO (GUERRERO),,,ARROYO
DLGUE1391,LAGO DE TUXPAN 1,,,,,BALSAS,,,GUERRERO,,,RIO MEDIO BALSAS,,,LAGO DE TUXPAN,,,LAGO
DLGUE1392,LAGO DE TUXPAN 2,,,,,BALSAS,,,GUERRERO,,,RIO MEDIO BALSAS,,,LAGO DE TUXPAN,,,LAGO
DLGUE1333,TERMOELECTRICA P. ELIAS CALLES AL MAR,,,,,BALSAS,,,GUERRERO,,,RIO COFRADIA,,,OCEANO PACIFICO,,,OCEANO-MAR
DLGUE1334,TERMOELECTRICA P. ELIAS CALLES  DESCARGA AL MAR,,,,,BALSAS,,,GUERRERO,,,RIO COFRADIA,,,OCEANO PACIFICO,,,OCEANO-MAR
DLMIC1521,TERMOELECTRICA P. ELIAS CALLES  DESCARGA AL BALSAS,,,,,BALSAS,,,GUERRERO,,,RIO BAJO BALSAS,,,OCEANO PACIFICO,,,RIO
DLGUE1408,PRESA ANDRES FIGUEROA 6,,,,,BALSAS,,,GUERRERO,,,RIO MEDIO BALSAS,,,PRESA ANDRES FIGUEROA,,,PRESA
DLGUE1409,PRESA ANDRES FIGUEROA 5,,,,,BALSAS,,,GUERRERO,,,RIO MEDIO BALSAS,,,PRESA ANDRES FIGUEROA,,,PRESA
DLGUE1410,PRESA ANDRES FIGUEROA 7,,,,,BALSAS,,,GUERRERO,,,RIO MEDIO BALSAS,,,PRESA ANDRES FIGUEROA,,,PRESA
DLGUE1411,PRESA ANDRES FIGUEROA 4,,,,,BALSAS,,,GUERRERO,,,RIO MEDIO BALSAS,,,PRESA ANDRES FIGUEROA,,,PRESA
DLGUE1412,PRESA ANDRES FIGUEROA 3,,,,,BALSAS,,,GUERRERO,,,RIO MEDIO BALSAS,,,PRESA ANDRES FIGUEROA,,,PRESA
DLGUE1413,PRESA ANDRES FIGUEROA 1,,,,,BALSAS,,,GUERRERO,,,RIO MEDIO BALSAS,,,PRESA ANDRES FIGUEROA,,,PRESA
DLGUE1414,PRESA ANDRES FIGUEROA 2,,,,,BALSAS,,,GUERRERO,,,RIO MEDIO BALSAS,,,PRESA ANDRES FIGUEROA,,,PRESA
DLGUE1345,PRESA EL CARACOL 1,,,,,BALSAS,,,GUERRERO,,,RIO MEDIO BALSAS,,,PRESA EL CARACOL,,,PRESA
DLGUE1346,PRESA EL CARACOL 3,,,,,BALSAS,,,GUERRERO,,,RIO MEDIO BALSAS,,,PRESA EL CARACOL,,,PRESA
DLGUE1347,PRESA EL CARACOL 2,,,,,BALSAS,,,GUERRERO,,,RIO MEDIO BALSAS,,,PRESA EL CARACOL,,,PRESA
DLGUE1348,PRESA EL CARACOL 4,,,,,BALSAS,,,GUERRERO,,,RIO MEDIO BALSAS,,,PRESA EL CARACOL,,,PRESA
DLMIC1575,PRESA INFIERNILLO 3,,,,,BALSAS,,,GUERRERO,,,RIO BAJO BALSAS,,,PRESA INFIERNILLO,,,PRESA
DLMIC1577,PRESA INFIERNILLO 7,,,,,BALSAS,,,GUERRERO,,,RIO BAJO BALSAS,,,PRESA INFIERNILLO,,,PRESA
DLGUE1339,PRESA LA CALERA-CANAL DERIVACION,,,,,BALSAS,,,GUERRERO,,,RIO BAJO BALSAS,,,PRESA LA CALERA,,,PRESA
DLGUE1336,PRESA LA VILLITA 3,,,,,BALSAS,,,GUERRERO,,,RIO BAJO BALSAS,,,PRESA LA VILLITA,,,PRESA
DLGUE1402,PRESA VICENTE GUERRERO 3,,,,,BALSAS,,,GUERRERO,,,RIO MEDIO BALSAS,,,PRESA VICENTE GUERRERO,,,PRESA
DLGUE1403,PRESA VICENTE GUERRERO 2,,,,,BALSAS,,,GUERRERO,,,RIO MEDIO BALSAS,,,PRESA VICENTE GUERRERO,,,PRESA
