No. ,Empresa,Dirección,Municipio,Clave Municipio,Estado,Clave Entidad,Teléfono,Tipo de residuo,No. de Autorización,Vigencia    Inicio    ,Vigencia Termino,Capacidad Toneladas.,,,,,,,
547,"Bienes Sustentables, S.A. de C.V.","Ranchería Las Flores, Segunda Sección",Paraíso,14,Tabasco,27,01 99 33 37 92 10,"Residuos peligrosos tipo industrial excepto residuos radioactivos, residuos peligrosos biológico infecciosos, bifenilos policlorados y residuos exaclorados.",27-PS-II-62D-2008,28-abr-08,28-abr-18,10.00,,,,,,,
548,Servicios Especializado Ecológico S de RL de CV,"km. 136+700 de la Carretera Cárdenas a Villahermosa, Ranchería Cucuyulapa",Cunduacán,6,Tabasco,27,134 1641,"Aceites lubricantes usados; residuos sólidos impregnados con aceites usados; residuos líquidos de gasolina, diesel y naftas gastados o sucios provenientes de estaciones de servicio y talleres automotrices; y aceites gastados de corte y enfriamiento en las operaciones de troquelado, fresado, taladrado y esmerilado",27-PS-II-78D-2009,21-abr-09,21-abr-19,254.00,,,,,,,
549,"Lubricantes de Calidad Tabasco, S. A. de C. V.  ","Calle Cuatro S/N,
R/a. Anacleto Canabal 1ª. Sección
C. P. 86280 
",Centro,4,Tabasco,27,(993) 337 9080 y 337 9250,"Acumuladores de vehículos automotores conteniendo plomo, excepto residuos radioactivos, residuos peligrosos biológico infecciosos, bifenilos policlorados y residuos hexaclorados",27-II-127D-2012,07-jun-12,07-jun-22,38.60,,,,,,,
550,"Corporativo de Servicios Ambientales,  S. A. DE C. V."," Pijije 101 L-4, Frac. La Choca Tabasco 2000
 86035 
",Centro,4,Tabasco,27,(993) 316 6662 Y 613 6663,"Hidrocarburo recuperado y aceites lubricantes gastados; Gasolina, diesel y naftas gastados o sucios provenientes de estaciones de servicio y talleres automotrices; Textiles impregnados con hidrocarburos, aceites usados, gasolinas, diesel y naftas; Sólidos impregnados con hidrocarburos, aceites usados, gasolinas, diesel y naftas; Filtros de equipos y maquinarias a gasolinas/diesel cuando sean considerados como peligrosos; Productos químicos caducos; Pintura caduca e intemperizada; Baterías eléctricas a base de níquel-cadmio; y residuos sólidos que presenten características CRIT bajo las condiciones señaladas en los numerales 7.2 a 7.7 de la Norma Oficial Mexicana NOM-052-SEMARNAT-2005, excepto residuos radioactivos, residuos peligrosos biológico infecciosos, bifenilos policlorados y residuos hexaclorados.",27-II-130D-2012,31-ago-12,31-ago-22,135.00,,,,,,,
551,"Gestión y Soluciones para el Tratamiento de Residuos,  S. A. de C. V. ","Recinto de los Helechos, Manzana 6, Lote 33
Fraccionamiento Parrilla II, C. P. 86280",Centro,4,Tabasco,27,(993) 267 1727,"(Aceites lubricantes gastados; lodos del separador API y cárcamos en la refinación del petróleo y almacenamiento de productos derivados; Gasolina, diesel y naftas gastados o sucios provenientes de estaciones de servicio y talleres automotrices; residuos sólidos impregnados con residuos peligrosos; residuos peligrosos sólidos provenientes de mantenimiento automotriz; residuos sólidos impregnados con hidrocarburos; suelos y materiales semejantes a suelos impregnados con hidrocarburos; chatarra impregnada con hidrocarburos; envases vacíos que contuvieron materiales y/o residuos peligrosos; acumuladores de vehículos automotores conteniendo plomo; y baterías eléctricas a base de mercurio o niquel cadmio; excepto residuos radioactivos, residuos peligrosos biológico infecciosos, bifenilos policlorados y residuos hexaclorados",27-II-149D-2013,14-oct-13,14-oct-23,315,,,,,,,
552,"SERCAMI AMBIENTAL, S. A. DE C. V. ","Calle Circuito Arnulfo Giorgana No. 3
Fraccionamiento Oropeza
C. P. 86030",Centro,4,Tabasco,27,(993) 352 2886,"Aceites lubricantes gastados; acumuladores de desecho de vehículos automotores conteniendo plomo; envases y embalajes que contuvieron materiales y residuos peligrosos; filtros usados provenientes de estaciones de servicio y talleres automotrices; lámparas fluorescentes y de vapor de mercurio; y suelos contaminados con materiales y/o residuos peligrosos; pinturas caducas y sus envases; lodos contaminados con residuos peligrosos; lodos aceitosos cuando sean considerados residuos peligrosos en los términos del Artículo 35 del Reglamento de la Ley General para la Prevención y Gestión Integral de los Residuos; aguas oleosas cuando sean consideradas residuos peligrosos en los términos del Artículo 35 del Reglamento de la Ley General para la Prevención y Gestión Integral de los Residuos y residuos sólidos de mantenimiento automotriz (trapos, estopas, cartón, papel y otros sólidos impregnados con aceites y grasas gastadas) excepto residuos radioactivos, residuos peligrosos biológico infecciosos, bifenilos policlorados y residuos hexaclorados",27-II-150D-2013,15-oct-13,15-oct-23,45.6,,,,,,,
553,Emir Ramírez Mancilla,"Calle Domingo Méndez Calderón, Manzana 4, Lote 10
Col. Gaviotas Sur 5ta. Sección C. P. 86099
Villahermosa",Centro,4,Tabasco,27,(993) 158 8215,"Aceite lubricantes usados; Gasolinas, diesel y naftas gastadas; sólidos impregnados con hidrocarburos; acumuladores de desecho; Pilas o baterias zinc-oxido de plata usadas o desechadas; baterías eléctricas a base de níquel cadmio; Pinturas caducas; Lámparas fluorescentes y de vapor de mercurio; Lodos provenientes de las operaciones de desengrasado; lodos provenientes de plantas de tratamiento de aguas residuales cuando éstas sean consideradas residuos peligrosos; Residuos de pigmentos base cromo y base plomo; Envases vacíos y Contenedores de pinturas; Lodos, tierra y/o arena contaminada con hidrocarburos; Medicamentos caducos; Envases y tambos vacíos usados en el manejo de materiales y residuos peligrosos de desecho; Filtros usados impregnados de aceites lubricantes; Textiles impregnados con hidrocarburos; Lodos de la separación primaria de aceite/agua/solidos de la refinación del petróleo, cualquier lodo generado por separación gravitacional de aceite/agua/solidos durante el almacenamiento o tratamiento de aguas residuales de proceso y aguas residuales aceitosas de enfriamiento, de refinerías de petróleo, tales lodos incluyen, pero no se limitan, a aquellos generados en separadores de aceite/agua/solidos, tanques y lagunas de captación, zanjas y otros dispositivos de transporte de agua pluvial; excepto residuos radioactivos, residuos peligrosos biológico infecciosos, bifenilos policlorados y residuos hexaclorados",27-II-157D-2014,19-mar-14,19-mar-24,151,,,,,,,
554,FRANCISCO DE LA CRUZ LUCIANO   ,"Calle Mario Trujillo Núm. 117
Ejido Lomitas, C. P. 86245
",Nacajuca,13,Tabasco,27,(914) 336 7384,"Aceite lubricantes usados; sólidos impregnados con pintura y solventes, envases vacíos impregnados de materiales y/o residuos peligrosos; sólidos de mantenimiento automotriz, filtros usados, envases vacíos, cubetas, trapos, estopas, cartón, papel impregnados con grasas y aceites usados; residuos sólidos impregnados con materiales o residuos peligrosos; cenizas de la incineración de residuos; plaguicidas caducos; envases que contuvieron plaguicidas o sus remanentes; acumuladores de vehículos automotores conteniendo plomo; pinturas caducas; Residuos de pigmentos base cromo y base plomo; Arena sílica y tierra contaminadas con grasas y aceites usados; Lámparas fluorescentes y de vapor de mercurio; aguas oleosas o aceitosas cuando éstas sean residuos peligrosos, anticongelantes gastados; Disolventes orgánicos usados; Residuos ácidos o alcalinos; solventes orgánicos caducos; solventes organoclorados caducos; residuos líquidos inflamables, acetonas, xileno, metanol, perfumería caduca; Aditamentos que contengan mercurio, cadmio o plomo; Fármacos caducos; Lodos aceitosos cuando sean residuos peligrosos; Lodos de perforación base aceite, provenientes de la extracción de combustibles fósiles y lodos provenientes de plantas de tratamiento de aguas residuales cuando sean considerados como peligrosos; Lodos del separador API y cárcamos en la refinación de petróleo y almacenamiento de productos derivados; Residuos de adhesivos y polímeros; Residuos de líquido blanqueador, fijador, estabilizador y aguas de enjuague provenientes del revelado de papel fotográfico, placas radiográficas o de rayos X y fotolitos; Gasolina, diésel y naftas gastados o sucios provenientes de estaciones de servicio y talleres automotrices; y reactivos caducos; excepto residuos radioactivos, residuos peligrosos biológico infecciosos, bifenilos policlorados y residuos hexaclorados",27-II-160D-2014,13-jun-14,13/06/2024,185.945,,,,,,,
555,"LMC Servicios Ambientales, S. A. de C. V.    ","Sitio Grande Núm. 109, Fraccionamiento José Colomo, C. P. 86100 Villahermosa",Centro,4,Tabasco,27,(993) 161 4357,"Residuos peligrosos tipo industrial excepto residuos radioactivos, residuos peligrosos biológico infecciosos, bifenilos policlorados y residuos exaclorados.",27-II-161D-2014,24-jul-14,24/07/2024,177.49,,,,,,,
556,Araceli Zapata Hernández  ,"Calle Emiliano Zapata S/N
Lomitas C. P. 86220",Nacajuca,13,Tabasco,27,(914) 336 7391,"Aceites lubricantes usados; Residuos sólidos impregnados con aceites y grasas usadas tales como trapos, cartón, envases, papel, etc; filtros impregnados con aceites usados; Envases y botes vacíos impregnados con aceites usados; Acumuladores de vehículos automotores de desecho; Pintura caduca; Baterías eléctricas a base de mercurio o de níquel-cadmio; Lodos contaminados con hidrocarburos; Tierra contaminada con hidrocarburos; Aguas aceitosas cuando sean consideradas residuos peligrosos; Oxido metálico; Disolventes orgánicos usados; material/escombros contaminados con hidrocarburos; envases vacíos contaminados con hidrocarburos, tales como totes, tambos, cubetas, de desechos; Envases vacíos impregnados con pinturas, tales como latas, cubetas y contenedores de desecho; excepto residuos radioactivos, residuos peligrosos biológico infecciosos, bifenilos policlorados y residuos hexaclorados",27-II-164D-2015,31/03/2015,31/03/2025,103,,,,,,,
557,Eduardo Pelaez Torres,"Carretera vecinal El Limón S/N
R/a. Las Flores 2ª. Sección
",Paraíso,14,Tabasco,27,9141118348,"Aceites lubricantes usados; Residuos sólidos impregnados con aceites y grasas usadas tales como trapos, cartón, envases, papel, etc; Filtros impregnados con aceites usados; Envases y botes vacíos impregnados con aceites usados; Acumuladores de vehículos automotores de desecho; Pintura caduca; Baterías eléctricas a base de mercurio o de níquel-cadmio; Lodos contaminados con hidrocarburos provenientes de trampas de grasas de talleres de mantenimiento; Tierra contaminada con hidrocarburos; Aguas aceitosas cuando sean consideradas residuos peligrosos; Envases vacíos contaminados con aceites y grasas usadas; Envases vacíos impregnados con pinturas, tales como latas, cubetas y contenedores de desecho; gasolina y diésel contaminados o sucios provenientes de talleres automotrices; Gasolinas y diésel contaminados o sucios provenientes del mantenimiento de maquinaria y equipo y talleres mecánicos; Residuos sólidos impregnados de gasolinas y diésel contaminados o sucios provenientes de talleres mecánicos; Residuos sólidos impregnados de gasolinas y diésel contaminados o sucios del mantenimiento de maquinaria y equipo; y catalizadores gastados; excepto residuos radioactivos, residuos peligrosos biológico infecciosos y los residuos que provengan de las actividades del Sector Hidrocarburos",27-II-169D-2017,04/01/2017,04/01/2027,,,,,,,,
558,ABEL VAZQUEZ RAMOS,"Carretera Estatal Villahermosa González kilómetro 10
Ranchería González 1ª. Sección
",Centro,4,Tabasco,27,99322135895,"Aceites lubricantes usados; Residuos sólidos impregnados con aceites y grasas usadas tales como trapos, cartón, envases, papel, etc; Filtros impregnados con aceites usados; Envases y botes vacíos impregnados con aceites usados; Acumuladores de vehículos automotores de desecho; Gasolina y diésel contaminados o sucios provenientes de talleres automotrices; Gasolinas y diésel contaminados o sucios provenientes del mantenimiento de maquinaria y equipo; y aguas oleosas cuando sean consideradas residuos peligrosos; excepto residuos radioactivos, residuos peligrosos biológico infecciosos y los residuos que provengan de las actividades del Sector Hidrocarburos",27-II-170D-2017,10/01/2017,10/01/2027,,,,,,,,
559,Fernando Fernández Ricárdez ,"Calle Juárez 1323-A
C. P. 86370, Colonia Santa Amalia
",Comalcalco,5,Tabasco,27,933 3340340,"Acumuladores de vehículos automotores, de desecho; Lámparas fluorescentes; Residuos sólidos diversos como trapos, estopas, guantes, textiles, prendas de protección, mangueras, etc., impregnados con aceites y grasas usadas; Residuos sólidos diversos como trapos, estopas, guantes, textiles, prendas de protección, mangueras, etc., impregnados con hidrocarburos; Filtros usados; Aceites lubricantes usados; Aceites hidráulicos usados; Aguas contaminadas con grasas y aceites provenientes de talleres mecánicos; Aguas contaminadas con aceites y grasas generadas en las actividades de mantenimiento de maquinaria y equipo; Tambores vacíos impregnados con aceites y grasas, de desecho; Tambores vacíos impregnados con hidrocarburos, de desecho; Madera contaminada con aceites y grasas; Remanentes y pedacería de materiales ferrosos y no ferrosos; Residuos sólidos impregnados con pintura, brochas, rodillos, cubetas, trapos, cartón, papel, etc.; Pintura caduca, seca y sus remanentes; Thínner, diésel y gasolinas sucias o contaminadas; fibra de vidrio impregnada con aceites o hidrocarburos; y  medicamentos caducos; excepto residuos radioactivos, residuos peligrosos biológico infecciosos y los residuos que provengan de las actividades del Sector Hidrocarburos",27-II-174D-2017,10/07/2017,10/07/2027,,,,,,,,
560,MAQUILADORA DE LUBRICANTES SA DE CV ,"Prolongación de Constitución S/N (Periférico)
C. P. 86200, Colonia Barrio de Guadalupe
",Jalpa de Méndez,10,Tabasco,27,993 3836999,"Residuos peligrosos excepto residuos radioactivos, residuos peligrosos biológico infecciosos y los residuos que provengan de las actividades del Sector Hidrocarburos",27-II-175D-2017,24/07/2017,24/07/2027,,,,,,,,
561,Saida Aidee Salinas Garza,Carretera  Reynosa-San Fernando KM. 94.5,Reynosa,32,Tamaulipas,28,89 99 24 92 48,Como empresa prestadora de servicios para el almacenamiento temporal de Residuos Peligrosos Biológico Infecciosos (RPBI) ,28-32-II-29-08,28/02/2008,28/02/2018,10.00,,,,,,,
562,Comercial  PSP  SA de CV ,Sendero Nacional S/N  Zona Industrial C.P. 87340,Matamoros,22,Tamaulipas,28,"86 88 12 32 04,            8 12 32 54","Aceite automotriz usado en motores de combustión interna, trapos y estopas impregnados con aceite automotriz, filtros usados en automóviles, botes de plástico con residuos de aceite automotriz",28-22-PS-II-27-07,04/10/2007,04/10/2017,5.00,,,,,,,
563,CAT MAX SA de CV ,"Lagos de MorenoNo. 13 Entre Soto La Marina y Solidaridad, Col. Pueblo Viejo CP 87457",Matamoros,22,Tamaulipas,28,86 88 17 64 33 y          8 22 64 82,"Monolito de Cerámica, Malla Metálica sujetadora del monolito, cubierta de acero inoxidable que incluye conos de entrada y salida, capa amortiguadora, millas de canales recubiertos de metales nobles y otros, metales nobles (rodio, paladio y platino) cataliticamente activos, substancias activas como óxido de aluminio",28-22-PS-II-28-07,29/10/2007,29/10/2017,5.00,,,,,,,
564,Soportes Ambientales de México  SA de CV ,"Privada Gatre No. 806 “A” Bodega 7, Col. Miramar CP 89600",Altamira,3,Tamaulipas,28,83 32 26 70 64,"Líquidos contaminados (aceite usado, agua contaminada con hidrocarburos y anticongelante usado) y sólidos contaminados (estopas y filtros impregnados con hidrocarburos o pinturas, lodos o tierra con hidrocarburos, baterías usadas, grasa, contenedores usados. ",28-03-PS-II-30-08,24/03/2008,24/03/2018,5.00,,,,,,,
565,Residuos Industriales Multiquim  SA de CV ,Av. San Rafael Lote No. 2 Parque Industrial Mol-Industrial,Reynosa,32,Tamaulipas,28,,Residuos peligrosos,28-32-PS-II-31-08,17/04/2008,17/04/2018,176.00,,,,,,,
566,"Técnicas Especiales de Reducción de Altamira, SA de CV","Carretera Tampico – Mante km 25, Desviación Brecha el Chocolate km 1.1, CP 89603",Altamira,3,Tamaulipas,28,01 83 32 64 15 21,"Catalizadores gastados del proceso de hidrocracking catalítico de residuales en refinación de petróleo; Lodos de separación primaria de aceite/agua/sólidos de la refinación del petróleo, cualquier lodo generado por separación gravitacional de aceite/agua/sólidos durante el almacenamiento o tratamiento de aguas residuales de procesos y aguas residuales aceitosas de enfriamiento, de refinerías de petróleo. Tales lodos incluyen pero no se limitan a aquellos generados en separadores de aceite/agua/sólidos; tanques y lagunas de captación, zanjas y otros dispositivos de transporte de agua pluvial, lodos generados de aguas de enfriamiento sin contacto, de un solo paso, segregadas para tratamiento de otros procesos o aguas de enfriamiento aceitosas y lodos generados en unidades de tratamiento biológico; Lodos del separador API y cárcamos en la refinación de petróleo y almacenamiento de productos derivados; Lodos de tanque de almacenamiento de hidrocarburos; Sólidos de emulsión de aceites de baja calidad en la industria de refinación de petróleo; 13463-39-3 Níquel carbonilo Ni(CO)4, (T-4); 1314-62-1 Vanadio óxido de V2O6; Catalizador gastado de la purga de la torre de apagado en la producción de acrilonitrilo; Catalizadores gastados en la producción de Materiales plásticos y resinas sintéticas; Lodos de los separadores API y cárcamos en la producción de petroquímicos; Aceites solubles en ácido (asas) provenientes de los procesos de alquilación de hidrocarburos; Sedimento impregnado de hidrocarburos provenientes de las corridas de diablo; Sosas gastadas y sosas fenólicas provenientes de los procesos de enfriamiento de hidrocarburos; gasolina, diesel y naftas gastadas o sucios provenientes de estaciones de servicio y talleres automotrices",28-II-16-08,16/12/2008,16/12/2018,"5,333.20",,,,,,,
567,"Tecnologias de Plastico, S. de R.L. de C.V.",Privada Martel M3 L9 s/n Parque Industrial Reynosa Seccion Nte. Brecha E99,Reynosa,32,Tamaulipas,28,,"Baterias electricas usadas a base de mercurio o niquel-cadmio; de zinc-oxido de plata o cualesquiera; que se determinen como residuo peligroso, cxon caracteristicas semejantes a las descritas, tablillas electronicas con soldadura que contenga plomo, escoria de soldadura que contenga plomo, metales no ferrosos provenientes de procesos de fundición y moldeo de piezas de metal ferrosos, basura industrial, envases y tambos vacios usados en el manejo de materiales y residuos peligrosos, lamparas fluorescentes",28-32-PS-II-34-08,11/11/2008,11/11/2018,228.00,,,,,,,
568,Juan Jose Simon Chaix,"Carretera Tampico - Mante No. 1207, Col. Del Bosque C.P. 89310",Tampico,38,Tamaulipas,28,,Almacenamiento (acopio) residuos peligrosos,288-38-PS-II-01-04,24/02/2009,24/02/2019,86.00,,,,,,,
569,Manuel Carlos Lacavex Kernion,"Calle 23 No. 103 Pte. Colonia Fidel Velazquez, C.P. 89520",Ciudad Madero,9,Tamaulipas,28,83 32 11 05 04,"Baterías eléctricas, fibra de vidrio,azufres solido, amina gastada, fibras minerales contaminadas con hidrocarburos, poliuretano gastado, catalizadores, carbon, asbesto, madera, lamparas, aserrin, grava, tereftalato, brochas, mono etilenglicol, sosa caustica, acetona, condensado de hidrocarburo, aguas aceitosas,aguas jabonosas.",28-09-PS-II-02-04 RENOVACIÓN,10/03/2009,10/03/2019,150.10,,,,,,,
570,Manuel Carlos Lacavex Kernion,"Calle Bahia Aldair Lote 10 Manzana 2, Parque Industrial La Pequeña y Mediana Industria, C.P. 89600",Altamira,3,Tamaulipas,28,83 32 11 05 04,"Baterías eléctricas, fibra de vidrio,azufres solido, amina gastada, fibras minerales contaminadas con hidrocarburos, poliuretano gastado, catalizadores, carbon, asbesto, madera, lamparas, aserrin, grava, tereftalato, brochas, mono etilenglicol, sosa caustica, acetona, condensado de hidrocarburo, aguas aceitosas,aguas jabonosas.",28-03-PS-II-12-04 RENOVACIÓN,11/03/2009,11/03/2019,150.10,,,,,,,
571,"Asesorias y Remediaciones Industriales, S.A. de C.V.","Lote ""T-2"" Ampliación Parque Industrial Nuevo Santander",Victoria,41,Tamaulipas,28,83 43  05 08 05,"Aceites lubricantes usados y sólidos impregnados con hidrocarburos(filtros, estopas, textiles, tierra)",28-41-PS-II-07-09 RENOVACIÓN,21/07/2009/,21/07/2019,7.00,,,,,,,
572,"Servicios Ecologicos VIDSA, S.A. de C.V.","Francisco Gonzalez Bocanegra No. 330, Col. 5 de diciembre",Reynosa,32,Tamaulipas,28,89 99 25 25 14,"Aceite lubricante usado, solidos impregnados con hidrocarburos, solventes y soluciones gastados, recipientes vacios que contuvieron materiales peligrosos, baterias de deshecho niquel-cadmio",28-32-PS-II-14-09 RENOVACIÓN,09/12/2009,09/12/2019,,,,,,,,
573,"Gen Industrial, SA de CV","Carretera Sendero Nacional s/n, Ejido Union, Col. Unión Agronómica",Matamoros,22,Tamaulipas,28,57 90 33 25,Residuos peligrosos ,28-22-PS-II-35-09,19/03/2009,19/03/2019,0.60,,,,,,,
574,"Gonermex, S.A. de C.V.","Carretera Tampico - Mante km. 16.3, Col. Laguna de la Puerta",Altamira,3,Tamaulipas,28,,Almacenamiento (acopio) residuos peligrosos,28-03-PS-II-36-09,22/07/2009,22/07/2019,350.00,,,,,,,
575,"Gonhermex, S.A. de C.V.","Calle Dr. Armando Puig 218-A, Col. Doctores, C.P. 88690",Reynosa,32,Tamaulipas,28,,Almacenamiento (acopio) residuos peligrosos,28-32-PS-II-39-10,22/03/2010,22/03/2020,60.00,,,,,,,
576,Jaime Castrellon Montelongo,"Carrtera matamoros - Victoria km. 7, Ejido La Luz ",Matamoros,22,Tamaulipas,28,89 48 42 43 33,Almacenamiento (acopio) residuos peligrosos,28-40-PS-II-40-10,23/09/2010,23/09/2020,0.00,,,,,,,
577,"Transportes y Servicios DLG, S.A. de C.V.","Calle Occidental No. 1045, Col. Rodriguez, C.P.88630",Reynosa,32,Tamaulipas,28,89 91 43 51 98,Almacenamiento (acopio) residuos peligrosos,28-32-PS-II-41-10,03/11/2010,03/11/2020,240.00,,,,,,,
578,"Muro Autopartes, S.A. de C.V.","Ave. Diagonal Cuauhtemoc No. 807, Col. Centro, C.P. 87300",Matamoros,22,Tamaulipas,28,86 88 16 63 03,Almacenamiento (acopio) residuos peligrosos,28-22-PS-II-42-19,16/11/2010,16/11/2020,600.00,,,,,,,
579,Mirna Perales de la Fuente,"Privada Laurel No. 336 A Laurel y Democracia, Col. America de Juarez",Victoria,41,Tamaulipas,28,83 41 10 00 88,Almacenamiento (acopio) residuos peligrosos,28-41-PS-II-43-10,30/11/2010,30/11/2020,10.00,,,,,,,
580,"Materiales y Servicios Ecologicos, S.A. de C.V.",Carretera a la Playa Bagdad Km. 10.5 sur ,Matamoros,22,Tamaulipas,28,86 88 26 24 71,"Bolda de polietileno de color rojo - residuos no atomicos, bolsa polietileno de color amarillo - residuos patológicos, en recipientes herméticos de polipropileno - residuos punzocortantes, y en recipientes herméticos - residuos líquidos",28-22--PS-II-19-11 RENOVACIÓN,20/01/2011,20/01/2021,61.00,,,,,,,
581,"Car Master, S.A. de C.V.","Carrera Torres, Leandro Reyes Abasolo, Jose de Escandon (calle cero) y F. de la Garza (calle uno)",Victoria,41,Tamaulipas,28,83 43 14 13 57,Acumuladores usados,28-41-PS-II-20-11 RENOVACIÓN,04/04/2011,04/04/2021,6.00,,,,,,,
582,"Zapata Internacinal, S.A. de C.V.","Calle Sinaloa No. 440, Esquina con Nayarit, Colonia Rodriguez",Reynosa,32,Tamaulipas,28,89 99 22 99 09,"Residuos peligrosos impregnados con hidrocarburos (estopas, trapos, cartón, madera, equipos de protección personal.",28-32-PS-II-21-11 RENOVACIÓN,12/12/2011,12/12/2021,46.00,,,,,,,
583,"Metallic Solders de México, S. de R.L. de C.V.","Norte #7 3s-A Entre Poniente 4 y diagonal Lorenzo de la Garza, Cd. Industrial",Matamoros,22,Tamaulipas,28,86 88 26 27 78,"Tarjetas electronicas contaminadas con plomo, Materiales de trabajo contaminados con plomo (trapos, guantes, batas), Recipientes contaminados con pasta de soldadura (botes aplicadores), Metales contaminados (aceite, soldadura y pintura), plomo, plata, aluminio, escoria de soldadura.",28-22-PS-II-23-11 RENOVACIÓN,04/10/2011,04/10/2021,270.00,,,,,,,
584,"Talento sin Fronteras, S.A. de C.V.",Librameinto Naciones Unidas con Calle Francia M-67 L-32,Victoria,41,Tamaulipas,28,81 15 70 10 76,"Almacenamiento (acopio) residuos peligrosos, gas refrigerante, aceite refrigerante",28-41-PS-II-44-11,20/01/2011,20/01/2021,2.00,,,,,,,
585,"Packaging Solutions and Logistics de México, S.A. de R.L. de C.V.",Brecha E)) s/n Parque Industrial Reynosa,Reynosa,32,Tamaulipas,28,89 99 58 20 61,Almacenamiento (acopio) residuos peligrosos,28-32-PS-II-45-11,16/05/2011,16/05/2021,19.00,,,,,,,
586,"Mios Multiservicios, S.A. de C.V.",Camino Ejido del ChocolateKm. 3.2,Altamira,3,Tamaulipas,28,89 99 46 81 22,Almacenamiento (acopio) residuos peligrosos,28-03-PS-II-46-11,03/08/2011,03/08/2021,"60,400.00",,,,,,,
587,Bonifacio Javier Soria Ramirez,"Ave. Cesar Lopez de Lara No. 2010, Col San Rafael",Nuevo Laredo,27,Tamaulipas,28,86 77 15 58 68,Acumuladores usados,28-27-PS-II-47-11,10/11/2011,10/11/2021,6.00,,,,,,,
588,Maria del Carmen Becerril Sanchez,"Blvd. Hidalgo No. 424, Col. Bella Vista, C.P. 88600",Reynosa,32,Tamaulipas,28,89 99 24 73 63,Almacenamiento (acopio) residuos peligrosos,28-32-PS-II--48-11,30/11/2011,30/11/2021,"2,400.00",,,,,,,
589,"Grupo Logardi, S.A. de C.V.","Calle Primera No. 400, Col. Longoria, C.P. 88660",Reynosa,32,Tamaulipas,28,89 99 09 17 00,Almacenamiento (acopio) residuos peligrosos,28-32-PS-II-49-12,28/05/2012,28/05/2022,"2,400.00",,,,,,,
590,"Autobaterias Nacionales, S.A. de C.V.",Av. Jarachina No. 1098 Col. Lomas de Jarachina,Reynosa,32,Tamaulipas,28,89 99 24 88 54,Acumuladores usados,28-32-PS-II-50-12,19/10/2012,19/10/2022,"1,664.60",,,,,,,
591,"MR Servicios y Logistica, S. de R.L. de C.V.","Norte 2 entre Oriente 2 y Av. Lauro Villar No. 12 Col. Ciudad Industrial, C.P. 87499",Matamoros,22,Tamaulipas,28,86 82 15 71 92,"Plomo, plata, aluminio, escoria de soldadura, tarjetas electronicas contaminadas con plomo, materiales de trabajo contaminados con plomo (trapos, guantes y batas), recipientes de trabajo contaminados con pasta de soldadura (botes y aplicadores), materiales contaminados (aceite, soldadura y pintura), pilas o baterias usadas y desechables",28-22-PS-II-51-13,21/02/2013,21/02/2023,640.00,,,,,,,
592,"Fortune Plastic Metal de México, S. de R.L. de C.V.","Av. El Puente, s/n, Parque Industrial El Puente, C.P. 88783",Reynosa,32,Tamaulipas,28,89 99 58 18 37,Residuos de soldadura con plomo.,28-32-PS-II-52-13,25/04/2013,25/04/2023,240.00,,,,,,,
593,"HISCOMEX, S.A. de C.V.","Av. San Rafael Lote #7, Entre Libramiento Monterrey - Reynosa, Km. 65, Col. Parque Moll Industrial, C.P. 88740",Reynosa,32,Tamaulipas,28,899 923 4650,Residuos de soldadura en la producción de circuitos electrónicos que contengan plomo u otros metales,28-32-PS-II-53-13,26/09/2013,26/09/2023,150.00,,,,,,,
594,Juan José Simon Chaix,"Carretera Tampico - Mante 1806, Col. Roma, entre Génova y Córcega",Tampico,38,Tamaulipas,28,833 226 2645,"Aceite usado, residuos impregnados con aceite (recipientes vacios, estopas y trapos), residuos impregnados con aceite, filtros, acumuladores usados conteniendo plomo, aguas contaminadas con hidrocarburos, aceite therminol, aceite mineral mas teal (liquido), aceite mineral pep (liquido), pinturas caducas, catalizador gastado, glicoles usados, diesel gastado, karth fisher, solución brinkman, solución buffer usada alcoholes usados, lodos residuales de procesos, botes impregnados de pintura, lodos aceitosos, ropa de seguridad impregnada de aceite lubricante usado, geomembranas impregnadas de hidrocarburos, lámparas fluorescentes balastros inservibles, baterias electricas/alcalinas, equipo de seguridad impregnado de aceite lubricado usado, botes impregnados de residuos peligrosos, residuos de barniz (liquido), absorbentes impregnados de residuos peligrosos, papel impregnado de hidrocarburos, cartuchos de impresora, fibras minerales contaminadas (sólido) con residuos, poliuretano contaminado con residuos peligrosos, catalizadores gastados (sólidos), carbón activado, madera impregnada con hidrocarburos, grava contaminada con hidrocarburos, aserrin impregnado con hidrocarburos, pet contaminado con residuos peligrosos, brocas impregnadas de solvente y/o pintura, aceites solubles en ácido provenientesde los procesos alquilación de hidrocarburos, sedimentos impregnados de hidrocarburos",28-38-PS-II-54-13,26/09/2013,26/09/2023,4300.00,,,,,,,
595,"CLEANMEX, S.A. de C.V.","Sendero Nacional S/N, Col. Sendero Nacional, C.P. 87313",Matamoros,22,Tamaulipas,28,868 811 1900,"Cianuro de portasio, Baterías Alcalinas, Batería Plomo Ácido, Tambos Vacios, Telas, Equipo de Protección Personal, Plásticos, Madera, Filtros, Mangueras contaminados con Hidrocarburos, Residuos de Vidrios, Lámparas Fluorescentes, Equipo de Computo, Sales Arsenicales, Metanoarsenato, Tricloroetileno, Resinas, Silicón Líquido, Percloroetileno, Cianuro, Residuos Contaminados con Mercurio",28-22-PS-II-55-14,10/01/2014,10/01/2024,22621.00,,,,,,,
